Player,From,To,Pos,Ht,Wt,Birth Date,College,Active,Hall Of Fame
DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",University of Pittsburgh,True,False
Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland,True,False
Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State University,False,False
George Blaney,1962,1962,G,6-1,175,"November 12, 1939",College of the Holy Cross,False,False
Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966",University of Texas at Austin,False,False
Ricky Blanton,1993,1993,F,6-7,215,"April 21, 1966",Louisiana State University,False,False
Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",,False,False
Mookie Blaylock,1990,2002,G,6-0,180,"March 20, 1967",University of Oklahoma,False,False
Eric Bledsoe,2011,2016,G,6-1,190,"December 9, 1989",University of Kentucky,True,False
Leon Blevins,1951,1951,G,6-2,160,"June 25, 1926",University of Arizona,False,False
John Block,1967,1976,F-C,6-9,207,"April 16, 1944",University of Southern California,False,False
Mike Bloom,1948,1949,F-C,6-6,190,"January 14, 1915",Temple University,False,False
Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",University of Cincinnati,False,False
Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh,False,False
Vander Blue,2014,2015,G,6-4,200,"July 17, 1992",Marquette University,True,False
Ray Blume,1982,1982,G,6-4,185,"September 23, 1958",Oregon State University,False,False
Nelson Bobb,1950,1953,G,6-0,170,"February 25, 1924",Temple University,False,False
Tony Bobbitt,2005,2005,G,6-4,190,"October 22, 1979",University of Cincinnati,False,False
Bucky Bockhorn,1959,1965,G,6-4,200,"July 8, 1933",University of Dayton,False,False
Tom Boerwinkle,1969,1978,C,7-0,265,"August 23, 1945",University of Tennessee,False,False
Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky,False,False
Bojan Bogdanovic,2015,2016,G-F,6-8,216,"April 18, 1989",,True,False
Muggsy Bogues,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest University,False,False
Andrew Bogut,2006,2016,C,7-0,260,"November 28, 1984",University of Utah,True,False
Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973",Auburn University at Montgomery,False,False
Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,False,False
Bill Bolger,1954,1954,F,6-5,205,"August 21, 1931",Georgetown University,False,False
Doug Bolstorff,1958,1958,G,6-4,195,"October 29, 1931",University of Minnesota,False,False
George Bon Salle,1962,1962,F,6-8,220,"July 1, 1935",University of Illinois at Urbana-Champaign,False,False
Phil Bond,1978,1978,G,6-2,175,"July 27, 1954",University of Louisville,False,False
Walter Bond,1993,1995,G,6-5,200,"February 1, 1969",University of Minnesota,False,False
Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas",False,False
Ron Bonham,1965,1968,F,6-5,192,"May 31, 1942",University of Cincinnati,False,False
Anthony Bonner,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis University,False,False
Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",University of Florida,True,False
Butch Booker,1970,1970,C,6-10,230,"July 20, 1945",Cheyney University of Pennsylvania,False,False
Devin Booker,2016,2016,G,6-6,206,"October 30, 1996",University of Kentucky,True,False
Melvin Booker,1996,1997,G,6-1,185,"August 20, 1972",University of Missouri,False,False
Trevor Booker,2011,2016,F,6-8,228,"November 25, 1987",Clemson University,True,False
Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut,False,False
Ron Boone,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University,False,False
Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University,False,False
Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",University of Maryland,False,False
Bob Boozer,1961,1971,F,6-8,215,"April 26, 1937",Kansas State University,False,False
Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University,False,False
Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford University,False,False
Jake Bornheimer,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,False,False
Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",,False,False
Ike Borsavage,1951,1951,C-F,6-8,220,"July 25, 1924",Temple University,False,False
Vince Boryla,1950,1954,F,6-5,210,"March 11, 1927",University of Denver,False,False
Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology,True,False
Jim Bostic,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State University,False,False
Lawrence Boston,1980,1980,F,6-8,225,"May 18, 1956",University of Maryland,False,False
Tom Boswell,1976,1984,F-C,6-9,220,"October 2, 1953",University of South Carolina,False,False
Ruben Boumtje-Boumtje,2002,2004,C,7-0,257,"May 20, 1978",Georgetown University,False,False
Don Boven,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan University,False,False
Cal Bowdler,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion University,False,False
Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton",False,False
Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa,False,False
Tommie Bowens,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University,False,False
Anthony Bowie,1989,1998,G-F,6-6,190,"November 9, 1963",University of Oklahoma,False,False
Sam Bowie,1985,1995,C-F,7-1,235,"March 17, 1961",University of Kentucky,False,False
Orbie Bowling,1968,1968,C,6-10,215,"March 21, 1939",University of Tennessee,False,False
Ira Bowman,2000,2002,G,6-5,195,"June 11, 1973",University of Pennsylvania,False,False
Nate Bowman,1967,1972,C,6-10,230,"March 19, 1943",Wichita State University,False,False
Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado,False,False
Dennis Boyd,1979,1979,G,6-1,175,"May 21, 1954",University of Detroit Mercy,False,False
Freddie Boyd,1973,1978,G,6-2,180,"June 13, 1950",Oregon State University,False,False
Ken Boyd,1975,1975,F,6-5,195,"March 25, 1952",Boston University,False,False
Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University,False,False
Harry Boykoff,1950,1951,C,6-10,225,"July 24, 1922",St. John's University,False,False
Winford Boynes,1979,1981,G-F,6-6,185,"May 17, 1957",University of San Francisco,False,False
Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles",False,False
Steve Bracey,1973,1975,G,6-1,175,"August 1, 1950",University of Tulsa,False,False
Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University,False,False
Gary Bradds,1965,1971,F,6-8,210,"July 26, 1942",Ohio State University,False,False
Alex Bradley,1982,1982,F,6-6,215,"October 30, 1959",Villanova University,False,False
Alonzo Bradley,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern University,False,False
Avery Bradley,2011,2016,G,6-2,180,"November 26, 1990",University of Texas at Austin,True,False
Bill Bradley,1968,1968,G,5-11,165,"June 16, 1941",,False,False
Bill Bradley,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton University,False,True
Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",University of Wyoming,False,False
Dudley Bradley,1980,1989,G-F,6-6,195,"March 19, 1957",University of North Carolina,False,False
Jim Bradley,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois University,False,False
Joe Bradley,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State University,False,False
Michael Bradley,2002,2006,F,6-10,245,"April 18, 1979",Villanova University,False,False
Shawn Bradley,1994,2005,C,7-6,235,"March 22, 1972",Brigham Young University,False,False
Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",,False,False
Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence College,False,False
Torraye Braggs,2004,2005,F,6-8,245,"May 15, 1976",Xavier University,False,False
A.J. Bramlett,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona,False,False
Adrian Branch,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland,False,False
Elton Brand,2000,2016,F,6-8,275,"March 11, 1979",Duke University,True,False
Terrell Brandon,1992,2002,G,5-11,180,"May 20, 1970",University of Oregon,False,False
Bob Brannum,1950,1955,F-C,6-5,215,"May 28, 1925",Michigan State University,False,False
Brad Branson,1982,1983,C-F,6-10,220,"September 24, 1958",Southern Methodist University,False,False
Jesse Branson,1966,1968,F,6-7,195,"January 7, 1942",Elon University,False,False
Jim Brasco,1953,1953,G,6-1,170,"February 3, 1931",New York University,False,False
Mike Bratz,1978,1986,G,6-2,185,"October 17, 1955",Stanford University,False,False
Carl Braun,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate University,False,False
Tim Breaux,1995,1998,F,6-7,215,"September 19, 1970",University of Wyoming,False,False
J.R. Bremer,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University,False,False
Pete Brennan,1959,1959,F,6-6,205,"September 23, 1936",University of North Carolina,False,False
Tom Brennan,1955,1955,F,6-3,195,"August 6, 1930",Villanova University,False,False
Randy Breuer,1984,1994,C,7-3,230,"October 11, 1960",University of Minnesota,False,False
Corey Brewer,2008,2016,F-G,6-9,186,"March 5, 1986",University of Florida,True,False
Jamison Brewer,2002,2005,G,6-4,184,"November 19, 1980",Auburn University,False,False
Jim Brewer,1974,1982,F-C,6-9,210,"December 3, 1951",University of Minnesota,False,False
Ron Brewer,1979,1986,G,6-4,180,"September 16, 1955",University of Arkansas,False,False
Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas,True,False
Primoz Brezec,2002,2010,C,7-2,252,"October 2, 1979",,False,False
Frankie Brian,1950,1956,G,6-1,180,"May 1, 1923",Louisiana State University,False,False
Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University,False,False
Junior Bridgeman,1976,1987,F-G,6-5,210,"September 17, 1953",University of Louisville,False,False
Bill Bridges,1963,1975,F-C,6-6,228,"April 4, 1939",University of Kansas,False,False
Al Brightman,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston,False,False
Aud Brindley,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College,False,False
John Brisker,1970,1975,F-G,6-5,210,"June 15, 1947",University of Toledo,False,False
Allan Bristow,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Polytechnic Institute and State University,False,False
Tyrone Britt,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University,False,False
Wayman Britt,1978,1978,G,6-2,185,"August 31, 1952",University of Michigan,False,False
Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina,False,False
Dave Britton,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M University,False,False
Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",University of Washington,False,False
Jim Brogan,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College,False,False
Gary Brokaw,1975,1978,G,6-4,178,"January 11, 1954",University of Notre Dame,False,False
Price Brookfield,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University,False,False
Clarence Brookins,1971,1971,F,6-4,190,,Temple University,False,False
Aaron Brooks,2008,2016,G,6-0,161,"January 14, 1985",University of Oregon,True,False
Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette,False,False
MarShon Brooks,2012,2014,G-F,6-5,200,"January 26, 1989",Providence College,True,False
Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle University,False,False
Scott Brooks,1989,1998,G,5-11,165,"July 31, 1965","University of California, Irvine",False,False
Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul University,False,False
Anthony Brown,2016,2016,F,6-7,210,"October 10, 1992",Stanford University,True,False
Bob Brown,1949,1950,F,6-4,205,"November 12, 1923",Miami University,False,False
Bobby Brown,2009,2010,G,6-2,175,"September 24, 1984","California State University, Fullerton",False,False
Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",North Carolina State University,False,False
Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse University,False,False
Darrell Brown,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University,False,False
Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University,False,False
Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign,False,False
Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier University,False,False
Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio,False,False
Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College,False,False
Fred Brown,1972,1984,G,6-3,182,"August 7, 1948",University of Iowa,False,False
George Brown,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University,False,False
Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine University,False,False
Harold Brown,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville,False,False
Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992",University of Missouri,True,False
John Brown,1974,1980,F,6-7,220,"December 14, 1951",University of Missouri,False,False
Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College,False,False
Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",,False,False
Larry Brown,1968,1972,G,5-9,160,"September 14, 1940",University of North Carolina,False,True
Leon Brown,1947,1947,F,6-3,190,"October 12, 1919",University of Wyoming,False,False
Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955","University of Nevada, Las Vegas",False,False
Lorenzo Brown,2014,2016,G,6-5,189,"August 26, 1990",North Carolina State University,True,False
Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State University,False,False
Markel Brown,2015,2016,G,6-3,190,"January 29, 1992",Oklahoma State University,True,False
Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington University,False,False
Myron Brown,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania,False,False
P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech University,False,False
Randy Brown,1992,2003,G,6-2,190,"May 22, 1968",New Mexico State University,False,False
Raymond Brown,1990,1990,F,6-8,220,"July 5, 1965",University of Idaho,False,False
Rickey Brown,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State University,False,False
Roger Brown,1968,1975,F-G,6-5,205,"May 22, 1942",University of Dayton,False,True
Roger Brown,1973,1980,C,6-11,225,"February 23, 1950",University of Kansas,False,False
Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University,True,False
Stan Brown,1948,1952,F,6-3,200,"June 27, 1929",,False,False
Tierre Brown,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University,False,False
Tony Brown,1985,1992,F-G,6-6,185,"July 29, 1960",University of Arkansas,False,False
Jim Browne,1949,1950,C,6-10,235,"January 1, 1930",,False,False
Stanley Brundy,1990,1990,F,6-6,210,"November 13, 1967",DePaul University,False,False
Brian Brunkhorst,1969,1969,F,6-6,208,"June 12, 1945",Marquette University,False,False
George Bruns,1973,1973,G,6-0,160,"August 30, 1946",Manhattan College,False,False
Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple University,False,False
Em Bryant,1965,1972,G,6-1,175,"November 4, 1938",DePaul University,False,False
Joe Bryant,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle University,False,False
Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",,True,False
Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall University,False,False
Wallace Bryant,1984,1986,C,7-0,245,"July 14, 1959",University of San Francisco,False,False
Torgeir Bryn,1990,1990,C,6-9,250,"August 8, 1964",Texas State University,False,False
George Bucci,1976,1976,G,6-3,200,"July 9, 1953",Manhattan College,False,False
Joe Buckhalter,1962,1963,F,6-7,210,"August 1, 1937",Tennessee State University,False,False
Steve Bucknall,1990,1990,G,6-6,215,"March 17, 1966",University of North Carolina,False,False
Cleveland Buckner,1962,1963,F-C,6-9,210,"August 17, 1938",Jackson State University,False,False
Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson University,False,False
Quinn Buckner,1977,1986,G,6-3,190,"August 20, 1954",Indiana University,False,False
Dave Budd,1961,1965,F,6-6,205,"October 28, 1938",Wake Forest University,False,False
Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",University of Arizona,True,False
Walt Budko,1949,1952,F-C,6-5,220,"July 30, 1925",Columbia University,False,False
Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",University of Arizona,False,False
Rodney Buford,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton University,False,False
Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967",University of Iowa,False,False
